strain name,CP,RFP,5.FU,H2O2,CMZ,LVAL,B.Cl.Ala,AZT,KM,6.MP,AF,NiCl,CBPC,NFLX,SDC,SXZ,FOS,KTe,PS,BZ,DCS,MMC,VCM,ATP,PLM,PHEN,3.AT,NVA,MEC,TET,M9,NQO,EDTA,SHX,PMZ,NIT,SS,BSD,GAH,FTD,EM,HSE,CCCP,ABU,PUR,DVAL,5.FOA,NMNO
PLME1,-0.360453,0.589337,-4.843096,-0.488831,3.248415,-0.660434,0.981219,2.85709,2.861607,0.285105,5.639078,1.330942,2.503341,0.144969,1.284529,-1.121098,0.630085,4.927168,-0.517251,-0.168929,0.021424,1.268588,1.788013,0.167565,9.971604,-0.115274,0.800627,-1.318049,-9.328887,-0.392674,0.102666,-0.032334,0.692939,2.965434,1.170114,0.654764,-0.939966,-1.306483,-0.845171,-0.800021,-3.570032,1.299076,-0.171438,0.039814,2.594616,1.555592,-6.311207,-0.367513
PHENE2,5.525426,4.49791,0.050861,1.250783,2.570853,0.380031,-1.5386,1.582069,-2.950637,-1.870575,9.082598,0.786103,3.685968,1.144892,-1.061407,-1.129386,1.585051,4.304167,-0.094196,1.131073,-0.844696,2.597029,0.740799,7.994099,-0.115006,5.009511,-0.282966,3.202148,-4.15949,4.419177,-1.18102,2.690074,3.39959,-0.670131,7.451984,1.403745,2.017139,0.251038,3.300246,1.9926,7.373668,0.438304,1.205521,-1.380724,10.156735,-1.328392,4.191258,2.962203
PHENE5,6.052357,5.527063,-0.300561,1.349492,2.740436,0.035995,0.340413,2.823576,-2.095782,-0.378896,10.060446,2.102564,4.364118,0.484486,0.160641,0.854241,1.178833,6.017372,-0.69796,1.142736,-0.356743,2.247286,0.106157,7.952597,-1.180894,3.57308,-0.133693,2.283365,-1.028892,3.006835,-0.272654,1.837758,4.226995,2.849533,7.868099,0.94289,1.210368,0.689596,1.960878,1.232408,8.619702,-0.046235,-3.397709,0.731382,9.351356,0.672738,3.509071,3.942949
PHENE6,3.144,3.611911,-0.12775,-0.217636,1.272797,-0.580426,-0.385009,1.3961,0.2763,-0.364348,4.698546,1.861637,2.915728,0.114239,-0.300207,1.120675,2.315259,6.9625,-0.772734,2.485157,0.137284,0.462681,0.209486,4.410065,-0.18963,2.780927,-0.84592,1.695041,-0.221134,2.110548,0.082307,0.420855,1.084588,1.269414,3.808682,1.163364,2.685125,3.046941,0.58574,1.42212,5.435621,1.027982,1.459235,0.403191,4.165577,-1.590349,3.7944,2.171642
PHENE1,2.040028,8.271707,0.001191,1.489377,0.880312,-0.026362,0.012651,0.301473,-0.355646,-1.719038,4.976557,-1.292761,1.955066,0.249782,0.380811,0.680654,0.718435,1.005969,-2.062064,-0.483845,-0.016906,0.801887,0.359466,3.859287,-0.53914,1.002424,-2.020875,0.605478,-11.087094,0.852891,0.102666,-1.611094,4.496199,1.948054,2.792784,1.160165,0.373931,1.098876,1.602449,0.120944,4.583466,-1.935816,0.92286,-3.29734,3.140252,-5.693429,1.082185,1.351011
3.ATE1,-0.743732,1.435445,-1.500178,1.02154,-0.385454,1.024449,1.877967,-0.892649,0.490858,-0.536239,-0.533972,-1.112935,-1.409541,0.226925,0.822365,0.906589,-0.134692,5.435798,-0.927525,-0.234171,1.557259,-0.437457,-0.617931,0.778339,-1.346418,-0.268924,7.417984,0.802365,-12.272348,0.1263,-0.750072,-0.288843,5.387686,2.693749,0.788723,-0.767213,0.181597,0.112529,-0.741598,0.21476,2.255792,1.169465,-0.064998,0.188466,0.65715,3.287327,0.00442,1.809248
3.ATE5,1.950308,3.098628,0.886962,0.493308,1.716516,-0.091071,-0.764402,0.964748,-1.923247,-0.329555,-5.071236,3.912062,2.428907,-0.74765,1.32348,0.822795,-0.472614,6.729654,-0.040845,-0.549869,-0.91886,-1.401653,0.396453,0.101977,-2.720673,0.110293,4.973103,2.791433,-12.011599,0.615615,-0.065159,0.231336,0.864914,-2.518193,0.301196,0.524575,5.215265,0.769962,-0.607506,0.915585,2.691414,1.106845,-1.288501,-6.451399,1.341038,-1.827892,1.903435,1.064746
3.ATE3,0.719691,0.967989,-0.301381,-0.129947,0.201322,-1.640267,-0.172956,-0.074743,-1.211727,-1.717334,-2.365746,2.610874,-0.052788,-0.637058,0.056309,-1.082179,1.432304,1.847057,0.428112,-1.682461,1.175104,-3.010628,1.474491,-2.464083,-1.391036,-1.113438,5.534869,-3.161113,-7.109236,0.108955,0.081187,0.208299,-0.080884,0.402517,-0.965942,-0.731323,3.70385,0.023904,-1.480425,0.413724,-0.724525,-3.246285,-3.170268,-0.91364,-0.984782,-0.042388,1.499668,-0.503818
3.ATE4,1.104371,0.249249,0.72943,0.891044,0.568236,0.23364,0.533888,0.757007,-0.10536,-0.417087,-0.424345,0.021786,0.49327,-0.338896,-0.245164,0.741858,0.185391,2.669814,0.047864,0.3676,0.594923,-1.320684,-0.244549,-0.26873,-0.850641,-0.191467,3.79325,-0.287832,-2.804797,-0.599023,0.06227,0.27317,-0.033721,0.861943,-0.214672,-0.030762,1.409587,2.366528,-0.212647,0.38549,0.27727,0.295747,-1.371673,0.071949,-0.021288,1.533069,0.249821,0.020362
NVAE1,-0.336912,1.121954,0.017095,0.666832,0.269741,0.313072,0.819336,0.514857,-1.266953,-0.655055,2.408585,1.124624,0.691137,-0.428756,0.39784,-0.306099,1.556987,4.914665,0.024363,0.241364,-0.506706,0.095383,-0.214396,1.91723,-0.996448,0.086244,-0.249898,6.894603,-1.995149,-0.251987,0.102666,0.471817,-0.210437,0.590598,1.140996,0.207227,0.906878,0.893225,1.74287,0.610002,1.749592,4.120259,-0.938674,1.574129,0.64385,-0.482041,0.377517,1.68063
